character,keyword,RTH_number,RSH_number,RTK_number,reading,decomposition,spatial,ids,components_detail,deck,tags
蠔,oyster (3),,,,hao2,,,^⿰虫豪$(GHTJKP),"虫 = insect, 豪 = unrestrained / overpowering",TW,TW::A
蠣,oyster (4),,,,li4,,,^⿰虫厲$(GHTJKP),"虫 = insect, 厲 = stern",TW,TW::A
蠱,to poison,,,,gu3,,,^⿱蟲皿$(GHTJKP),"蟲 = insects, 皿 = dish",TW,TW::A
袞,ceremonial dress worn by the emperor,,,,gun3,,,^⿳亠㕣𧘇$(GHTJKPV),"亠 = top hat, 𧘇 = garment",TW,TW::A
裊,curling upwards,,,,niao3,,,^⿱{47}衣$(GJKP),衣 = clothing / garment,TW,TW::A
褻,treat with disrespect,,,,xie4,,,^⿳亠埶𧘇$(GHTJP),"亠 = top hat, 埶 = skill (3), 𧘇 = garment",TW,TW::A
褸,tattered,,,,lu:3,,,^⿰衤婁$(GHTJKP),"衤 = cloak, 婁 = surname (15)",TW,TW::A
襠,crotch or seat of pants,,,,dang1,,,^⿰衤當$(GHTJKP),"衤 = cloak, 當 = work as",TW,TW::A
襤,threadbare,,,,lan2,,,^⿰衤監$(GHTJKP),"衤 = cloak, 監 = supervise / oversee",TW,TW::A
覦,desire strongly,,,,yu2,,,^⿰俞見$(GHT),"俞 = slaughterhouse, 見 = see",TW,TW::A
覬,covet,,,,ji4,,,^⿰豈見$(GHTJKP),"豈 = (rhetorical question), 見 = see",TW,TW::A
覲,have imperial audience,,,,jin4,,,^⿰堇見$(GHTJKP),"堇 = violet, 見 = see",TW,TW::A
觴,propose toast,,,,shang1,,,^⿰角𬀷$(GHTJKP),角 = angle,TW,TW::A
訐,to pry,,,,jie2,,,^⿰訁干$(GHTJKP),"訁 = say, 干 = dry / offend",TW,TW::A
訌,disorder,,,,hong4,,,^⿰訁工$(GHTJKP),"訁 = say, 工 = work / craft",TW,TW::A
訕,to ridicule,,,,shan4,,,^⿰訁山$(GHTJKP),"訁 = say, 山 = mountain",TW,TW::A
訖,exhaust,,,,qi4,,,^⿰訁乞$(GHTJKPV),"訁 = say, 乞 = beg",TW,TW::A
訥,inarticulate,,,,ne4,,,^⿰訁内$(GV),"訁 = say, 内 = internal / inside",TW,TW::A
訛,erroneous,,,,e2,,,^⿰訁化$(GHTV),"訁 = say, 化 = transform / change",TW,TW::A
詁,exegesis,,,,gu3,,,^⿰訁古$(GHTJKP),"訁 = say, 古 = ancient / old",TW,TW::A
詛,swear,,,,zu3,,,^⿰訁且$(GHTJKPV),"訁 = say, 且 = moreover",TW,TW::A
詆,reproach,,,,di3,,,^⿰訁氐$(GHTJKP),"訁 = say, 氐 = calling card",TW,TW::A
詼,humorous,,,,hui1,,,^⿰訁灰$(GHTKP),"訁 = say, 灰 = ashes",TW,TW::A
誅,to punish,,,,zhu1,,,^⿰訁朱$(GHTJKPV),"訁 = say, 朱 = vermillion / vermilion",TW,TW::A
詬,berate,,,,gou4,,,^⿰訁后$(GHTJKP),"訁 = say, 后 = behind / queen / empress",TW,TW::A
誥,inform,,,,gao4,,,^⿰訁告$(GTKP),"訁 = say, 告 = declare / revelation",TW,TW::A
誨,to instruct,,,,hui4,,,^⿰訁每$(GHTJKPV),"訁 = say, 每 = every",TW,TW::A
誑,falsehood,,,,kuang2,,,^⿰訁狂$(GHTJKPV),"訁 = say, 狂 = crazy / lunatic",TW,TW::A
諉,to give excuses,,,,wei3,,,^⿰訁委$(GHTJKP),"訁 = say, 委 = committee",TW,TW::A
諂,toady,,,,chan3,,,^⿰訁臽$(GHTJKPV),"訁 = say, 臽 = pothole",TW,TW::A
諍,to criticize frankly,,,,zheng4,,,^⿰訁争$(G),"訁 = say, 争 = contend",TW,TW::A
諫,to remonstrate,,,,Jian4,,,^⿰訁柬$(GHTJKPV),"訁 = say, 柬 = abbr. for 柬埔寨",TW,TW::A
諱,taboo word,,,,hui4,,,^⿰訁韋$(GHTJKPV),"訁 = say, 韋 = tanned hide",TW,TW::A
謗,to speak ill of,,,,bang4,,,^⿰訁旁$(GHTJKPV),"訁 = say, 旁 = side",TW,TW::A
謨,be without,,,,mo2,,,^⿰訁莫$(GHTJKPV),"訁 = say, 莫 = nobody / shalt",TW,TW::A
譁,uproar,,,,hua2,,,^⿰訁華$(GHTJKP),"訁 = say, 華 = splendor",TW,TW::A
譎,deceitful (2),,,,jue2,,,^⿰訁矞$(GHTJKPV),"訁 = say, 矞 = grand (4)",TW,TW::A
讒,to speak maliciously,,,,chan2,,,^⿰訁毚$(GHTJKPV),"訁 = say, 毚 = cunning (3)",TW,TW::A
讖,omen,,,,chen4,,,^⿰訁韱$(GHTJKPV),"訁 = say, 韱 = wild onions or leeks",TW,TW::A
豔,fresh and attractive,,,,yan4,,,^⿰豐盍$(GHTJKP),"豐 = plentiful, 盍 = why not",TW,TW::A
貍,fox (2),,,,li2,,,^⿰豸里$(GHTJKP),"豸 = feline beast, 里 = li / ri",TW,TW::A
貽,give to,,,,yi2,,,^⿰貝台$(GHTJKP),"貝 = shellfish, 台 = platform / pedestal",TW,TW::A
賁,forge ahead,,,,Ben1,,,^⿱卉貝$(GHTJK),"卉 = haystack, 貝 = shellfish",TW,TW::A
貲,property,,,,zi1,,,^⿱此貝$(GHTJKP),"此 = this (literary) / this here, 貝 = shellfish",TW,TW::A
賅,prepared for,,,,Gai1,,,^⿰貝亥$(GHTJKP),"貝 = shellfish, 亥 = sign of the hog",TW,TW::A
賒,long (time),,,,she1,,,^⿰貝佘$(GHTV),"貝 = shellfish, 佘 = surname (6)",TW,TW::A
賬,bill,,,,zhang4,,,^⿰貝長$(GHTJKP),"貝 = shellfish, 長 = long",TW,TW::A
贅,(of the bride's parents) to have the groom join one's household,,,,zhui4,,,^⿱敖貝$(GHTK),"敖 = ramble, 貝 = shellfish",TW,TW::A
贍,to provide for,,,,shan4,,,^⿰貝詹$(GHTJKPV),"貝 = shellfish, 詹 = verbose",TW,TW::A
贗,false (2),,,,yan4,,,^⿸鴈貝$(GHTJKP),"鴈 = wild goose (2), 貝 = shellfish",TW,TW::A
贛,Jiangxi province,,,,Gan4,,,^⿰章⿱夂貢$(GHTJKP),"章 = chapter / badge, 夂 = walking legs, 貢 = tribute",TW,TW::A
跼,cramped,,,,ju2,,,^⿰𧾷局$(GHTJKP),"𧾷 = foot, 局 = bureau",TW,TW::A
踫,old variant of 碰[peng4],,,,peng4,,,^⿰𧾷並$(GHT),"𧾷 = foot, 並 = side by side / row",TW,TW::A
蹣,to jump over,,,,pan2,,,^⿰𧾷㒼$(GHTJKP),𧾷 = foot,TW,TW::A
蹺,stilts,,,,qiao1,,,^⿰𧾷堯$(GHTJKPV),"𧾷 = foot, 堯 = Yao",TW,TW::A
躉,sell or buy wholesale,,,,dun3,,,^⿱萬足$(GHTJKP),"萬 = ten thousand / ten thousand [old], 足 = lower leg",TW,TW::A
躂,slip,,,,da1,,,^⿰𧾷達$(GHTJKP),"𧾷 = foot, 達 = reach / accomplished",TW,TW::A
躑,be irresolute,,,,zhi2,,,^⿰𧾷鄭$(GHTJKP),"𧾷 = foot, 鄭 = Zheng / courtesy",TW,TW::A
躡,to walk quietly,,,,nie4,,,^⿰𧾷聶$(GHTJKPV),"𧾷 = foot, 聶 = to whisper (2)",TW,TW::A
躪,trample down,,,,lin4,,,^⿰𧾷藺$(GHTJKP),"𧾷 = foot, 藺 = juncus effusus (2)",TW,TW::A
軔,brake (2),,,,ren4,,,^⿰車刃$(GHTJKP),"車 = car, 刃 = blade",TW,TW::A
軛,yoke (2),,,,e4,,,^⿰車厄$(GHTJKP),"車 = car, 厄 = unlucky",TW,TW::A
軻,used in 轗軻|𫐘轲[kan3 ke3],,,,Ke1,,,^⿰車可$(GHTJKP),"車 = car, 可 = can",TW,TW::A
軼,to surpass,,,,yi4,,,^⿰車失$(GHTJKP),"車 = car, 失 = lose",TW,TW::A
軾,to bow while leaning on this handrail as a gesture of respect,,,,shi4,,,^⿰車式$(GHTJKP),"車 = car, 式 = style",TW,TW::A
輊,low rear portion of cart,,,,zhi4,,,^⿰車至$(GHTJKP),"車 = car, 至 = until / climax",TW,TW::A
輒,always,,,,zhe2,,,^⿰車𦔮$(GHTJKP),車 = car,TW,TW::A
輓,to draw (a cart),,,,wan3,,,^⿰車免$(GHTKP),"車 = car, 免 = avoid / excuse",TW,TW::A
輟,to cease,,,,chuo4,,,^⿰車叕$(GHTJKP),"車 = car, 叕 = to join together",TW,TW::A
輦,an imperial carriage,,,,nian3,,,^⿱㚘車$(GHTJKPV),車 = car,TW,TW::A
輜,military supply wagon,,,,zi1,,,^⿰車甾$(GHTJKP),"車 = car, 甾 = steroid nucleus",TW,TW::A
輾,turn over,,,,nian3,,,^⿰車展$(GHTJKP),"車 = car, 展 = unfold",TW,TW::A
轂,the hub of wheel,,,,gu1,,,^⿰⿱⿳士冖一車殳$(GHTJKP),"士 = soldier / gentleman, 冖 = crown, 一 = one, 車 = car, 殳 = missile",TW,TW::A
轅,entrance gate of a military camp or yamen,,,,yuan2,,,^⿰車袁$(GHTJKP),"車 = car, 袁 = Yuan",TW,TW::A
轍,track of a wheel (Taiwan pr. [che4]),,,,zhe2,,,^⿰車𰕎$(GHTJKP),車 = car,TW,TW::A
轔,rumbling of vehicles,,,,lin2,,,^⿰車粦$(GHTJKP),"車 = car, 粦 = jack-o’-lantern",TW,TW::A
轡,bridle of horse,,,,pei4,,,^⿱𦆕口$(GHTJKP),口 = mouth,TW,TW::A
迆,walk out of straight path,,,,yi2,,,^⿺辶也$(GHTJKP),"辶 = road, 也 = also / est",TW,TW::A
逕,pass by,,,,jing4,,,^⿺辶巠$(GHTJKP),"辶 = road, 巠 = spool",TW,TW::A
邇,be near,,,,er3,,,^⿺辶爾$(GHTJKP),"辶 = road, 爾 = you (literary) / let it be",TW,TW::A
邐,winding (2),,,,li3,,,^⿺辶麗$(GHTJKP),"辶 = road, 麗 = lovely",TW,TW::A
鄒,vassal state during the Zhou Dynasty (1046–256 BC) in the southeast of Shandong,,,,Zou1,,,^⿰芻阝$(GHTJKP),"芻 = hay, 阝 = pinnacle",TW,TW::A
醃,to salt,,,,yan1,,,^⿰酉奄$(GHTJKP),"酉 = sign of the bird, 奄 = encompassing",TW,TW::A
醣,carbohydrate,,,,tang2,,,^⿰酉唐$(GHTK),"酉 = sign of the bird, 唐 = Tang / T'ang",TW,TW::A
醞,liquor,,,,yun4,,,^⿰酉𥁕$(GHTJKP),酉 = sign of the bird,TW,TW::A
釗,to strain,,,,zhao1,,,^⿰釒刂$(GHTJKP),"釒 = metal, 刂 = saber",TW,TW::A
釵,ornamental hairpin,,,,chai1,,,^⿰釒叉$(GHTJKPV),"釒 = metal, 叉 = fork / forked",TW,TW::A
釧,armlet,,,,Chuan4,,,^⿰釒川$(GHTJKPV),"釒 = metal, 川 = stream",TW,TW::A
鈣,calcium (chemistry),,,,gai4,,,^⿰釒丐$(GHTJK),"釒 = metal, 丐 = to beg for alms",TW,TW::A
鈉,sodium (Na),,,,na4,,,^⿰釒内$(G),"釒 = metal, 内 = internal / inside",TW,TW::A
鈐,latch,,,,qian2,,,^⿰釒今$(GHTJKPV),"釒 = metal, 今 = now",TW,TW::A
鈷,cobalt (Co),,,,gu3,,,^⿰釒古$(GHTJKP),"釒 = metal, 古 = ancient / old",TW,TW::A
鈸,cymbals (2),,,,bo2,,,^⿰釒犮$(GHTJKPV),"釒 = metal, 犮 = seeing-eye chihuahua",TW,TW::A
鈽,plutonium (chemistry) (Tw),,,,bu1,,,^⿰釒布$(GHTKPV),"釒 = metal, 布 = cloth / linen",TW,TW::A
鉀,potassium (K),,,,jia3,,,^⿰釒甲$(GHTJKP),"釒 = metal, 甲 = first / armor",TW,TW::A
鈾,Taiwan pr. [you4],,,,you2,,,^⿰釒由$(GHTJK),"釒 = metal, 由 = wherefore",TW,TW::A
鉋,carpenter's plane (2),,,,bao4,,,^⿰釒包$(GHTKPV),"釒 = metal, 包 = wrap",TW,TW::A
鉑,platinum (Pt),,,,bo2,,,^⿰釒白$(GHTJKPV),"釒 = metal, 白 = white",TW,TW::A
鉸,hinge,,,,jiao3,,,^⿰釒交$(GHTJKP),"釒 = metal, 交 = mingle",TW,TW::A
銬,manacle,,,,kao4,,,^⿰釒考$(GHTK),"釒 = metal, 考 = take an exam / consider",TW,TW::A
銖,unit of weight,,,,zhu1,,,^⿰釒朱$(GHTJKP),"釒 = metal, 朱 = vermillion / vermilion",TW,TW::A
鉻,chromium (element 24,,,,ge4,,,^⿰釒各$(GHTJKPV),"釒 = metal, 各 = each",TW,TW::A
銓,select officials,,,,quan2,,,^⿰釒全$(GHTJKPV),"釒 = metal, 全 = whole",TW,TW::A
鋅,zinc (element 30,,,,xin1,,,^⿰釒辛$(GHTJKP),"釒 = metal, 辛 = peppery / spicy",TW,TW::A
銻,antimony (element 51,,,,ti1,,,^⿰釒弟$(GHTJKP),"釒 = metal, 弟 = younger brother",TW,TW::A
銼,file (tool used for smoothing),,,,cuo4,,,^⿰釒坐$(GHTJKPV),"釒 = metal, 坐 = sit / sitting in meditation",TW,TW::A
錳,manganese (element 25,,,,meng3,,,^⿰釒孟$(GHTJK),"釒 = metal, 孟 = Mencius / start",TW,TW::A
錚,small gong,,,,zheng1,,,^⿰釒争$(G),"釒 = metal, 争 = contend",TW,TW::A
鍍,coat,,,,du4,,,^⿰釒度$(GHTJKP),"釒 = metal, 度 = degrees",TW,TW::A
鎂,magnesium (element 12,,,,mei3,,,^⿰釒美$(GHTJK),"釒 = metal, 美 = beautiful / beauty",TW,TW::A
鍥,to chisel,,,,qie4,,,^⿰釒契$(GHTJKP),"釒 = metal, 契 = contract / pledge",TW,TW::A
鍰,ancient unit of weight (2),,,,huan2,,,^⿰釒爰$(GHTJKP),"釒 = metal, 爰 = migrating ducks",TW,TW::A
鎔,fuse,,,,rong2,,,^⿰釒容$(GHTJKP),"釒 = metal, 容 = contain",TW,TW::A
鎊,pound sterling,,,,bang4,,,^⿰釒旁$(GHTJKPV),"釒 = metal, 旁 = side",TW,TW::A
鎢,tungsten (element 74,,,,wu1,,,^⿰釒烏$(GHTKP),"釒 = metal, 烏 = crow",TW,TW::A
鎳,nickel (element 28,,,,nie4,,,^⿰釒臬$(GHTK),"釒 = metal, 臬 = guidepost",TW,TW::A
鏃,arrowhead (2),,,,zu2,,,^⿰釒族$(GHTJKP),"釒 = metal, 族 = tribe",TW,TW::A
鏈,"cable (unit of length: 100 fathoms, about 185 m)",,,,lian4,,,^⿰釒連$(GHTJKP),"釒 = metal, 連 = one after another / take along",TW,TW::A
鏜,boring tool,,,,tang1,,,^⿰釒堂$(GHTJKP),"釒 = metal, 堂 = main room / public chamber",TW,TW::A
鏝,trowel,,,,man4,,,^⿰釒曼$(GHTJKP),"釒 = metal, 曼 = drawn out / mandala",TW,TW::A
鏢,goods sent under the protection of an armed escort,,,,biao1,,,^⿰釒票$(GHTJKPV),"釒 = metal, 票 = ticket / ballot",TW,TW::A
鏘,jingle,,,,qiang1,,,^⿰釒將$(GHTJKP),"釒 = metal, 將 = General",TW,TW::A
鏤,hard steel,,,,lou4,,,^⿰釒婁$(GHTJKP),"釒 = metal, 婁 = surname (15)",TW,TW::A
鏗,jingling of metals,,,,keng1,,,^⿰釒堅$(GHTJKPV),"釒 = metal, 堅 = firm / strict",TW,TW::A
鐃,hand bell,,,,nao2,,,^⿰釒堯$(GHTJKPV),"釒 = metal, 堯 = Yao",TW,TW::A
鐳,radium (element 88,,,,lei2,,,^⿰釒雷$(GHTJKP),"釒 = metal, 雷 = thunder",TW,TW::A
鐺,clank,,,,cheng1,,,^⿰釒當$(GHTJKP),"釒 = metal, 當 = work as",TW,TW::A
鐸,large ancient bell,,,,Duo2,,,^⿰釒睪$(GHTJKPV),釒 = metal,TW,TW::A
鐲,armband,,,,zhuo2,,,^⿰釒蜀$(GHTJKPV),"釒 = metal, 蜀 = shǔ",TW,TW::A
鑒,looking glass,,,,jian4,,,^⿱𰯲金$(GHTJKP),金 = gold,TW,TW::A
鑣,bit,,,,biao1,,,^⿰釒麃$(GHTJKP),"釒 = metal, 麃 = to weed (6)",TW,TW::A
鑠,melt,,,,shuo4,,,^⿰釒樂$(GHTJKPV),"釒 = metal, 樂 = music",TW,TW::A
鑲,to inlay,,,,xiang1,,,^⿰釒襄$(GHTJKP),"釒 = metal, 襄 = aid",TW,TW::A
閂,to bolt,,,,shuan1,,,^⿵門一$(GHTJKP),"門 = gate / gates, 一 = one",TW,TW::A
閔,mourn,,,,Min3,,,^⿵門文$(GHTJKP),"門 = gate / gates, 文 = literature / sentence",TW,TW::A
閏,an extra day or month inserted into the lunar or solar calendar (such as February 29),,,,run4,,,^⿵門王$(GHTJKPV),"門 = gate / gates, 王 = king",TW,TW::A
閡,obstruct (2),,,,he2,,,^⿵門亥$(GHTJKP),"門 = gate / gates, 亥 = sign of the hog",TW,TW::A
閨,boudoir,,,,gui1,,,^⿵門圭$(GHTJKPV),"門 = gate / gates, 圭 = squared jewel",TW,TW::A
閩,also pr. [Min2],,,,Min3,,,^⿵門虫$(GHTJKPV),"門 = gate / gates, 虫 = insect",TW,TW::A
閭,village of twenty-five families,,,,lu:2,,,^⿵門吕$(G),"門 = gate / gates, 吕 = spine",TW,TW::A
